id,created_at,player,smash_character,is_cpu,total_kos,total_falls,total_sds,has_won,match_id
20,2025-06-06 08:21:51.717000,21,MR. GAME & WATCH,False,2,3,0,False,12
21,2025-06-06 08:21:51.799000,22,ENDERMAN,False,3,2,0,True,12
22,2025-06-06 08:31:02.775000,23,SAMUS,False,2,2,0,False,13
23,2025-06-06 08:31:02.937000,21,MR. GAME & WATCH,False,3,2,0,True,13
24,2025-06-06 08:31:03.037000,22,ENDERMAN,False,3,3,0,False,13
25,2025-06-06 08:39:59.861000,22,ZOMBIE,False,3,2,0,True,14
26,2025-06-06 08:39:59.980000,23,SAMUS,False,2,3,0,False,14
27,2025-06-06 08:40:00.071000,21,ZELDA,False,3,3,0,False,14
28,2025-06-06 08:48:23.374000,23,SAMUS,False,1,3,0,False,15
29,2025-06-06 08:48:23.461000,21,MR. GAME & WATCH,False,3,1,0,True,15
30,2025-06-06 11:38:52.617000,23,SAMUS,False,1,3,0,False,16
31,2025-06-06 11:38:52.705000,22,ENDERMAN,False,3,1,0,True,16
34,2025-06-06 22:21:01.930000,35,R.O.B.,False,2,3,0,False,18
35,2025-06-06 22:21:02.033000,21,ZELDA,False,3,2,0,True,18
36,2025-06-06 23:41:48.654000,22,ENDERMAN,False,1,3,0,False,19
37,2025-06-06 23:41:48.936000,38,JOKER,False,3,1,0,True,19
38,2025-06-06 23:46:35.671000,39,DONKEY KONG,False,3,2,0,True,20
39,2025-06-06 23:46:35.763000,38,CAPTAIN FALCON,False,2,3,0,False,20
40,2025-06-06 23:50:10.843000,38,JOKER,False,3,2,0,True,21
41,2025-06-06 23:50:10.919000,39,DONKEY KONG,False,2,3,0,False,21
42,2025-06-06 23:54:00.105000,22,ENDERMAN,False,0,3,0,False,22
43,2025-06-06 23:54:00.210000,38,JOKER,False,3,0,0,True,22
44,2025-06-06 23:58:14.667000,38,GANONDORF,False,3,2,0,True,23
45,2025-06-06 23:58:14.795000,39,DONKEY KONG,False,2,3,0,False,23
46,2025-06-07 00:27:31.026000,22,ENDERMAN,False,2,2,0,False,24
47,2025-06-07 00:27:31.114000,38,JOKER,False,2,2,1,True,24
48,2025-06-07 00:27:31.210000,39,LUCINA,False,1,3,0,False,24
49,2025-06-07 00:27:31.307000,50,YOSHI,False,2,2,0,True,24
50,2025-06-07 00:32:30.281000,38,JOKER,False,2,2,1,False,25
51,2025-06-07 00:32:30.376000,39,DONKEY KONG,False,0,3,0,True,25
52,2025-06-07 00:44:04.578000,38,JOKER,False,1,0,0,True,26
53,2025-06-07 00:44:04.697000,54,MR. GAME & WATCH,False,0,1,0,False,26
54,2025-06-07 00:46:15.807000,38,JOKER,False,2,1,0,True,27
55,2025-06-07 00:46:15.885000,54,INCINEROAR,False,1,3,0,False,27
56,2025-06-07 00:50:30.196000,38,JOKER,False,3,2,0,True,28
57,2025-06-07 00:50:30.282000,54,KING K. ROOL,False,2,3,0,False,28
58,2025-06-07 00:56:04.943000,38,JOKER,False,2,2,0,True,29
59,2025-06-07 00:56:05.046000,54,INCINEROAR,False,2,3,0,False,29
60,2025-06-07 01:01:53.292000,61,CLOUD,False,0,3,0,False,30
61,2025-06-07 01:01:53.378000,38,JOKER,False,3,1,0,True,30
62,2025-06-07 01:04:39.308000,61,NESS,False,0,0,0,False,31
63,2025-06-07 01:04:39.404000,38,JOKER,False,0,0,0,True,31
64,2025-06-07 01:08:08.058000,38,JOKER,False,3,0,0,True,32
65,2025-06-07 01:08:08.165000,50,YOSHI,False,0,3,0,False,32
66,2025-06-07 01:16:33.688000,38,JOKER,False,3,1,0,True,33
67,2025-06-07 01:16:33.776000,22,ENDERMAN,False,1,3,0,False,33
68,2025-06-07 06:51:02.474000,21,MR. GAME & WATCH,False,2,2,0,False,34
69,2025-06-07 06:51:02.594000,22,ENDERMAN,False,2,2,0,True,34
70,2025-06-07 06:58:52.031000,21,MR. GAME & WATCH,False,1,3,0,False,35
71,2025-06-07 06:58:52.116000,22,ENDERMAN,False,3,1,0,True,35
72,2025-06-07 06:58:52.200000,23,SAMUS,False,2,3,0,False,35
73,2025-06-08 01:06:31.451000,74,PYRA,False,1,3,0,False,36
74,2025-06-08 01:06:31.558000,21,ZELDA,False,3,1,0,True,36
75,2025-06-10 01:12:52.819000,22,ENDERMAN,False,3,1,0,True,37
76,2025-06-10 01:12:52.910000,77,PYRA,False,1,3,0,False,37
77,2025-06-10 01:19:24.492000,22,LITTLE MAC,False,3,1,0,True,38
78,2025-06-10 01:19:24.617000,77,MYTHRA,False,0,3,0,False,38
79,2025-06-10 01:22:01.425000,22,LITTLE MAC,False,3,0,0,True,39
80,2025-06-10 01:22:01.527000,77,JOKER,False,0,3,0,False,39
