id,created_at,name,display_name,elo,country,inactive,top_ten_played,picture,banned
11463,2026-04-21 01:46:36.665000,,willsong,1200,,False,2,,False
5793,2025-10-21 02:24:51.322000,,heidy,1016,FR,True,3,,False
9326,2026-01-22 18:14:00.139000,,oh,1200,,True,0,,False
2106,2025-08-14 20:28:12.107000,unknown,unknown,1200,UN,True,0,,False
9734,2026-01-30 04:06:04.996000,,Ryanz,1200,,True,0,,False
3007,2025-08-29 23:59:27.908000,Landon,lando,1026,US,True,6,https://smash-leaderboard-production.up.railway.app/images/dps/lando.png,False
6239,2025-11-01 00:45:52.439000,,donshelly,1200,,True,0,,False
9455,2026-01-23 03:37:10.087000,,Jean,1200,,True,0,,False
3808,2025-09-06 07:33:50.109000,,ridlay,1200,US,True,1,,False
6237,2025-11-01 00:45:52.101000,,eddy,1200,GB,True,0,,False
8659,2025-12-11 05:31:17.631000,,8n,1171,US,False,4,https://smash-leaderboard-production.up.railway.app/images/dps/8n.png,False
11444,2026-04-21 01:02:16.448000,River Tamoor Baig,RT,1414,GB,False,6,https://smash-leaderboard-production.up.railway.app/images/dps/river.png,False
10270,2026-02-11 01:41:27.097000,,dice,1200,,True,0,,False
21,2025-06-06 08:21:51.674000,Haseab,habeas,1312,CA,False,9,https://smash-leaderboard-production.up.railway.app/images/dps/habeas.png,False
9609,2026-01-28 03:05:53.470000,,ryan,1200,,True,1,,False
104,2025-06-11 23:16:25.450000,Shafaq Ahmed,shafaq,1427,US,False,9,https://smash-leaderboard-production.up.railway.app/images/dps/shafaq.png,False
9238,2026-01-22 04:00:29.239000,,ben,1102,,True,6,,False
1112,2025-07-31 03:22:32.800000,Furqan Rydhan,lag,1077,US,False,7,https://pub-ccb175376fc94e64b1b2376fadf6c341.r2.dev/lag.png,False
190,2025-07-01 15:26:56.697000,Kento Uchiyama,kento,1341,JP,True,5,https://smash-leaderboard-production.up.railway.app/images/dps/kento.png,False
74,2025-06-08 01:06:31.396000,Jackson Mowatt Gok,strike,1151,AU,False,4,https://smash-leaderboard-production.up.railway.app/images/dps/jackedson.png,False
11832,2026-04-22 07:08:34.729000,,DK,1200,,False,1,,False
255,2025-07-05 01:08:00.419000,Fateen Rafid,fateen,1112,BD,True,5,https://smash-leaderboard-production.up.railway.app/images/dps/fateen.jpg,False
9157,2026-01-15 05:14:18.330000,,jean,1200,,True,2,,False
3849,2025-09-06 22:24:39.119000,Caleb,caleb,1200,US,True,2,https://smash-leaderboard-production.up.railway.app/images/dps/caleb.jpg,False
61,2025-06-07 01:01:53.240000,Ryan Bailey,ryy,1334,US,False,7,https://smash-leaderboard-production.up.railway.app/images/dps/ryy.png,False
8427,2025-12-10 03:50:38.003000,,cowboy,1200,,True,0,,False
11884,2026-04-23 02:38:23.704000,,,1200,,False,0,,False
2821,2025-08-26 04:44:53.685000,Raul,Raulito,1158,US,True,4,https://smash-leaderboard-production.up.railway.app/images/dps/raul.png,False
9100,2026-01-14 00:32:19.706000,,niki <3,1229,JP,True,3,https://smash-leaderboard-production.up.railway.app/images/dps/niki.png,True
9373,2026-01-23 02:04:35.027000,,devmo,1200,,True,1,,False
6235,2025-11-01 00:45:51.667000,,asma,1200,TN,True,1,,False
2586,2025-08-23 00:44:14.138000,Safi Qadir,safi,1303,US,False,8,https://smash-leaderboard-production.up.railway.app/images/dps/safi.jpg,False
452,2025-07-16 02:52:05.910000,Mizan Val,mizan,969,US,True,3,https://smash-leaderboard-production.up.railway.app/images/dps/mizan.jpg,False
10719,2026-02-17 22:41:19.681000,,noah,1200,,True,0,,False
6238,2025-11-01 00:45:52.282000,,bassem,1200,TN,True,0,,False
6405,2025-11-04 07:58:52.066000,,daniel l,1200,US,True,0,,False
8811,2025-12-14 06:46:33.061000,,ghandi,1200,,True,0,,False
3005,2025-08-29 21:54:32.665000,Anish Shinde,messi,974,US,True,4,https://smash-leaderboard-production.up.railway.app/images/dps/messi.jpg,False
5853,2025-10-22 22:12:22.395000,,alvaro,1200,,True,0,,False
3758,2025-09-06 05:03:02.078000,Julien Alvarez,fckn noob,1200,US,True,1,,False
4484,2025-09-19 00:31:36.846000,Owen,own,1246,FR,False,8,https://smash-leaderboard-production.up.railway.app/images/dps/own.jpg,False
4254,2025-09-14 05:15:35.101000,Cathleen Turner,gatmo,1142,US,True,3,,False
4827,2025-09-20 21:35:58.136000,,maximilian,1200,,True,0,,False
1473,2025-08-07 01:18:08.142000,sky,sky,1200,US,True,0,,False
4813,2025-09-20 19:43:12.476000,,n8,1200,,True,0,,False
35,2025-06-06 22:21:01.865000,Bihan Mahadewa,bihan,1200,US,True,1,https://smash-leaderboard-production.up.railway.app/images/dps/bihan.png,False
23,2025-06-06 08:31:02.716000,Anish Thite,nish,1118,US,False,8,https://smash-leaderboard-production.up.railway.app/images/dps/nish.png,False
767,2025-07-27 06:36:11.280000,Aadil Ali,aadil,1200,CA,True,1,,False
77,2025-06-10 01:12:52.868000,Yash Raj,ya,712,IN,True,8,https://smash-leaderboard-production.up.railway.app/images/dps/ya.png,False
96,2025-06-11 01:38:28.959000,Ryan Pantig,RP,1200,US,True,1,https://smash-leaderboard-production.up.railway.app/images/dps/rp.png,False
187,2025-06-14 23:43:34.147000,David Jungle,david,1200,US,True,1,https://smash-leaderboard-production.up.railway.app/images/dps/david.png,False
678,2025-07-20 05:03:56.423000,Abe Ahmed,mmmmm,1067,US,True,3,https://smash-leaderboard-production.up.railway.app/images/dps/mmmmm.png,False
3657,2025-09-05 22:37:11.688000,Hasan,gapam,1200,US,True,2,,False
